root_tweet_id,thread_size,conversation,intent,annotation_notes
1240036,2,"CUSTOMER: Well… that’s one way to deliver a Pyrex measuring cup… #shattered @115821 @118706 https://t.co/82CziNeRrH

AMAZON: @410862 Oh no, Mason! I'm terribly sorry for the poor delivery experience! Who was the carrier assigned to this shipment? ^SA",Delivery Issue,
970861,2,"CUSTOMER: Amazonで注文した商品がお届け予定日過ぎてるのに届かないどころかまだ発送もされてない臭いんだが…(´･ω･｀)

AMAZON: @350359 ご心配をおかけしております。お届け予定日を過ぎている場合、こちらからカスタマーサービスにご連絡ください。https://t.co/J6YEizo6qC 出品者発送の商品の場合、出品者に直接ご連絡ください。https://t.co/bpqWb4Zbe4 MH",Delivery Issue,
1219364,4,"AMAZON: @406090 Oh no! I'm sorry for the poor delivery experiences. Are you noticing this trend with a specific carrier or many? ^TG

CUSTOMER: @AmazonHelp Not a specific carrier. I've several orders run past the guaranteed delivery date via prime. Not a big deal but come on. Give a heads up

AMAZON: @406090 We certainly understand! Please reach out to us here: https://t.co/hApLpMlfHN so we can take a further look into this. ^HC

CUSTOMER: What's the point of having @115821 prime if your orders consistently don't show up when they say it will",Prime Membership,
1559860,2,"CUSTOMER: @AmazonHelp ... can you please advise on who else can return this? Thankyou, Elizabeth

AMAZON: @446153 With Twitter, we cannot access your account info. Please, explore options via phone/chat here: https://t.co/JzP7hlRCV9 ^JE",Return / Refund,
1554926,4,"CUSTOMER: @120533 samedi 4 novembre toujours pas de Call of duty world war 2 alors que je l’ai précommandé ! Le but était de le recevoir le Jour J

AMAZON: @480886 Bonjour, désolée d'apprendre cela :/ avez-vous reçu l'e-mail d'expédition de commande ? ^SN

CUSTOMER: @AmazonHelp Ouais je l’ai reçu jeudi et c’est écrit livraison samedi donc aujourd’hui la poste vien de passer et toujours rien

AMAZON: @480886 Je vous invite à patienter SVP. Merci pour votre compréhension.",Delivery Issue,
303520,2,"CUSTOMER: @115821 yo why do my book orders keep getting sent with no kind of padding or protection in the boxes

AMAZON: @188457 Thanks for reaching out. Have they been arriving damaged? ^GL",Damaged / Wrong / Missing Item,
2769708,2,"CUSTOMER: @115850 Do I am you regarding delivery feedback ?

AMAZON: @774343 You can provide your feedback regarding the delivery here: https://t.co/BOC2qI06T6. You can also reach out to support team for further assistance. ^GD",Delivery Issue,
576009,4,"CUSTOMER: Toll, dass man keine Hilfe bekommt, wenn man sich als Prime Kunde an das @AmazonHelp Team wendet! Aber den Prime Service schön bezahlt nehmen - dank Prime stand ich gestern ohne Geschenk da - immer noch enttäuscht :-(

AMAZON: @255533 Wir hatten dich gestern Abend noch per DM gefragt: ""Was sagt denn die Sendungsverfolgung auf der Webseite des Transportpartners?"". Haben leider keine Antwort mehr von dir bekommen :( Liebe Grüße ^MF

CUSTOMER: @AmazonHelp Ich habe was geschickt - leider kam der letzte Tweet von mir

AMAZON: @255533 Also wir haben in unserem System leider keine Antwort mehr von dir gefunden :( Aber gut, jetzt ist das Kind ja eh schon in den Brunnen gefallen 😥 Melde dich bitte mal hier: https://t.co/dDmBEPionb Die Kollegen prüfen dann, was wir hier für dich tun können. ^MS",Prime Membership,
253398,4,"CUSTOMER: Funny, because I've been home and awake, @115821, and nobody tried to deliver anything. Congrats on stalling an already late delivery. https://t.co/t7wIYqQgck

AMAZON: @176239 I'm sorry we weren't able to deliver you item, Nathan. Who's the carrier listed for this order here: https://t.co/Y5jpI9ys9c ^LB

CUSTOMER: @AmazonHelp ""Lasership"".

AMAZON: @176239 Have you had a chance to reach out to Lasership directly about the order: https://t.co/YhVJose0aP? ^VS",Delivery Issue,
2612260,10,"CUSTOMER: @AmazonHelp Hi I ordered a book in august as a preorder but it was delivered whilst I was away according to my account. I seem to have no way of letting you know it wasn't! What can you do?

AMAZON: @738609 Hello John. Does the tracking show as delivered? Have you checked with neighbors and your safe place? ^CN

CUSTOMER: @AmazonHelp Hi the tracking says as left in letterbox. My neighbour not seen anything either and she is my designated person to collect parcels when I am out.

AMAZON: @738609 Hey John, how long has it been since the order was marked as delivered? ^MA

CUSTOMER: @AmazonHelp Hi 3rd October

AMAZON: @738609 Could you reach out to us directly via the following link so that we can investigate this for you?: https://t.co/JzP7hlA23B ^KI

CUSTOMER: @AmazonHelp I spoke to these people and the didn't help and cut off the call without any notice! https://t.co/AIDzYMlBmC

AMAZON: @738609 Was the order fulfilled by Amazon or a 3rd Party Seller? ^JJ

CUSTOMER: @AmazonHelp Amazon.

AMAZON: @738609 Can you please request a callback here: https://t.co/FvX58ysiNO ^CN",Damaged / Wrong / Missing Item,
379131,6,"CUSTOMER: @115830 I’ve had a totally unsatisfactory experience with customer service this weekend. Can someone from a UK office call me. I’ll dm

AMAZON: @205968 Sorry to hear that, you are welcome to DM us. Please don't share sensitive account info. ^JJ https://t.co/1XyLaGkcaN

CUSTOMER: @AmazonHelp I’ve messaged in the help twitter account. I have serious concerns of fraud and was fobbed off. I would like someone to call me after 0900

AMAZON: @205968 Hi, we don't have access to your account here, please contact us at your earliest convenience:  https://t.co/JzP7hlA23B ^AT

CUSTOMER: @AmazonHelp Thank you. Will it be s UK call centre as this is very important. I tried to get resolved over weekend and got no where.

AMAZON: @205968 We do not have UK specific contact details - it's for our Customer Service team. ^TD",Account / Access / Security,
2616433,2,"CUSTOMER: @AmazonHelp No point in having #SafePlace options permanently set if drivers ignore them &amp; take packages back to the depot, waste of a Prime subscription as I'm unable to wait at home all day

AMAZON: @192624 Hello, I am sorry to hear that your safe place instructions have not been followed. Has the safe place area been updated to show on each of your orders? Have a look here: https://t.co/aUM64dS4cp ^CR",Prime Membership,
1614107,2,"CUSTOMER: You know that you buy way too many items from Amazon when the delivery guy for your street calls you by your first name....

AMAZON: @495130 😁 You wanna go where people know, people are all the same, you wanna go where everybody knows your name. -Gary Portnoy ^DA",Other / Unclear,
381681,2,"CUSTOMER: hrrrgh the amazon prime video app is really frustrating, if i exit the app it crashes the ep half of the time

AMAZON: @206507 Could you help me with device name, software version and episode that you are trying to stream so that I can help you? ^AH",Digital Content,
2826438,2,"CUSTOMER: 届いた〜（｡ӧ◡ӧ｡）
Amazonプライム会員だから
ものっそい安く買えた♡♡
もうほとんど買い揃えた✌︎
後は実家近くの西松屋とかで
おしりふきとか粉ミルク買えばいいや！
15日には荷物全部実家に運ぶから
産休入ったらまとめなきゃ😂 https://t.co/XOz3QHNNGf

AMAZON: @787318 |´-`)ﾁﾗｯ　Amazonのご利用ありがとうございます！
今後ご入用なものも増えてくるかと思いますので、当サイトをぜひご活用くださいませ😀👶🎊 HM",Promotion / Gift Card / Credit,
1315526,3,"CUSTOMER: @115850 YOUR WEBSITE IS GARBAGE! I couldn't check out and now the phone isn't available. F U!

AMAZON: @427328 Sorry to know about your experience with us, Keshav. We realize you are eager to 1/2 ^AB

AMAZON: @427328 place the order with us. Please stay tuned for the product to get back in stock again. 2/2 ^AB",Order Management,
2355299,2,"CUSTOMER: @AmazonHelp hi is it normal to pre auth my debit card for £1 when I sign up to a free trial of prime?!

AMAZON: @680450 I'm sorry for the unexpected card activity! A £1 authorization is normal. We won't charge your card, and the charge should fall off in no more than 10 days! More info: https://t.co/BF1Iepfxt1 ^WT",Payment / Billing,
1071091,4,"CUSTOMER: @115821 And again!! https://t.co/xiVTKVUE51

AMAZON: @372754 I'm sorry your parcel wasn't left where you wanted at. Have you set your delivery preferences: https://t.co/X8nvnb7bQw? ^BV

CUSTOMER: Hey @115821 don't worry about delivering the parcels, just leave them on the step 👍🏻 https://t.co/WziryT1dKt

AMAZON: @372754 I'm sorry for the trouble! Have you reported this to us by phone or chat, yet: https://t.co/JzP7hlA23B? ^ST",Delivery Issue,
2380837,2,"CUSTOMER: Amazon Prime Musicいいなあ。プレイリストを何も考えずに流し続けれるのはありがたい。

AMAZON: @686469 喜んでいただけてうれしいです✨ SK",Digital Content,
378530,2,"CUSTOMER: Amazon primeの学割的なコース、無料お試し期間半年をすっ飛ばして有料会員に登録出来ます？(ビデオとか使いたい)

AMAZON: @205825 Prime Studentの無料体験中、年会費1,900円（税込）の有料会員に切り替えることは可能です。詳しくはこちらのヘルプページをご参照下さい。 https://t.co/pg3kzYhP6y EK",Prime Membership,
1200964,2,"CUSTOMER: @115821 @AmazonHelp Guy name Baidurya Phukan Ripp Amazon &amp; People money. Catch &amp; take action. I give more proof. He's from Guwahati. https://t.co/3fD6Rmu6Ek

AMAZON: @402194 Thank you for reporting it. We will consider this as feedback and ensure to pass it on internally. ^RW",Other / Unclear,
1737100,4,"CUSTOMER: Ya llegaron. Thanks @116928 https://t.co/nYG74UEJZ4

AMAZON: @524396 ¡Qué emoción! ¿Ya estás ansioso por estrenarlos? ^AR

CUSTOMER: @AmazonHelp Hombreeee. Y tanto que siii. Solo me queda esperar hasta las 15:30 para darle duro 😊😊

AMAZON: @524396 No te preocupes que el tiempo pasa rápido. ¡Nos tienes que contar tu primera impresión cuando los uses! ^AR",Other / Unclear,
2962798,2,"CUSTOMER: Thank you @116090 , for handing off my parcel to another resident, who is not me. So I do not have my item -_-

AMAZON: @817544 I'm sorry about the mistake delivering your order, Kainin! Please leave your information for us here: https://t.co/EY7YCo2f5a We'll take a look and be in touch with you shortly! ^PF",Delivery Issue,
2303006,8,"CUSTOMER: My signed copy of TATWD still hasn't been sent out, help @AmazonHelp @127390

AMAZON: @668272 Do you have a issue with an order placed on Amazon?
^MD

CUSTOMER: @AmazonHelp Yes, i ordered a signed copy of Turtles all the way down on you website, which should have been sent out on October 31st at the latest and it's still hasn't been sent

AMAZON: @668272 I understand your frustration, Jay. Can you confirm which site you're using? i.e., .com, .fr, .uk. We'd be happy to help! ^SK

CUSTOMER: @AmazonHelp .fr :)

AMAZON: @668272 Have you contacted our Customer Service to inform them of the situation?
^MD

CUSTOMER: @AmazonHelp I can't find the option, as the book has not been sent yet

AMAZON: @668272 You can contact our customer service by the following link : https://t.co/qzuu0dgDXz
^MD",Delivery Issue,
323779,2,"CUSTOMER: @AmazonHelp comment faire pour commander chez vous mais ne pas se faire livrer par amazon logistique, colis déposé dans la rue non merci !

AMAZON: @193116 Bonjour, je suis désolée d'apprendre cela, avez-vous signalé ceci auprès de notre SAV ? ^ KO",Delivery Issue,
2590196,2,"CUSTOMER: Thank You @AmazonHelp @115821 @115850 for cancelling my order.
I just wanna request you to refund the payment as early as possible as it is an EMI purchase and i dont wanna pay any extra charges now. https://t.co/F7ZTXNvzlP

AMAZON: @332761 I get your concern, Faiyaz. We have received your reply and we're working on the concern. We'll get back to you with further assistance. Appreciate your understanding and patience in this regard. ^SM",Return / Refund,
1741852,2,"CUSTOMER: 1.  Dear @115821, Please don't allow YOUR branded delivery service to ruin your good logistic-savvy name.

AMAZON: @525462 I'm sorry to hear this! Without posting personal account information, can you tell us more? ^KP",Delivery Issue,
2104287,2,"CUSTOMER: @TwitterSupport @117634 why is this in my TL? Not a promoted ad, but apparently I follow, which I do not? What's up with the back door ads by you deciding who I follow? https://t.co/3MiLz0Tvl0

AMAZON: @391603 Hi, I've checked the link and Amazing Kindles is not an Amazon twitter handle. ^TS",Other / Unclear,
155207,2,"CUSTOMER: Doing the majority of my Christmas shopping while snuggling Rose in the rocking chair. Thank you @115821

AMAZON: @151595 Sounds like the best way to do it! No stress, nice and cosy. 🎅🏻😍🎁^NV",Other / Unclear,
2825620,2,"CUSTOMER: amazonプライムて年会費を払えば、1年間見れるんだな  毎月3900円払うのかと思ってた。 ＃amazonプライム

AMAZON: @787144 (*´∇｀*).｡oO（「年会費税込み3,900円でございますよ～。＊月間プランもございます♪ https://t.co/FJh7vAncqv ）TN",Prime Membership,
2805925,2,"CUSTOMER: And really, may show as delivered 36 hours prior to actual delivery? Do you not see the issue with this, @AmazonHelp ??? https://t.co/gjOsnjep1O

AMAZON: @150006 We would like to look into this for you. Were you able to respond to the link provided previously: https://t.co/3T4FqoEOGv? ^ST",Delivery Issue,
1545741,4,"CUSTOMER: @115850 
I ordered Infocus turbo5,back cover,tampered glass.
 but the tampered glass was found broken.
Take it back and refund please

AMAZON: @478711 I'm sorry for the trouble with your order. May I know if you've reached our support team here: https://t.co/vlvfJr4nN9? ^AR

CUSTOMER: @AmazonHelp It shows that the product is not included in return option

AMAZON: @478711 I get your concern. Please connect with our support team using the link above. We'll look into it. ^PS",Damaged / Wrong / Missing Item,
180777,2,"CUSTOMER: @AmazonHelp I pre ordered Star Was Battlefront II  on XB1 and supposed to get beta code. Does this come from you or am I missing something?

AMAZON: @158490 Hi, sorry to hear this. Please get in touch with EA and they will be able to assist you with this issue. ^RL",Digital Content,
1735274,6,"CUSTOMER: Hey @115821, not only did you charge me twice for a purchase but your phone customer service sucks. :))))

AMAZON: @163158 Sorry to hear you feel this way, Shelby! Is one of the charges appearing as pending? More info: https://t.co/pJ7pqTrMWP ^AB

CUSTOMER: @AmazonHelp One charge is pending and one has been taken out but the one pending has already been pulled out.

AMAZON: @163158 It sounds like you might be seeing an authorization. Please click here: https://t.co/4Z7eDQV5hY to read more info on them ^NM

CUSTOMER: @AmazonHelp But why has it never done it before??

AMAZON: @163158 I understand, I'll pass your feedback on. ^AS",Payment / Billing,
1135229,4,"CUSTOMER: Mais je commande chez vous pour recevoir mon colis le jour de la sortie et vous êtes pas foutus de le livrer à temps. @AmazonHelp https://t.co/2sEphxOsqV

AMAZON: @387440 Bonjour,
Avez-vous contacté notre SAV pour leur faire part de la situation?
^MD

CUSTOMER: @AmazonHelp Non. Je vais le faire mais je ne pense pas que cela va changer quelque chose.

AMAZON: @387440 Il est important au moins de remonter l'incident au département concerné afin qu'il ne se reproduise plus. ^MH",Delivery Issue,
419450,5,"CUSTOMER: Every single time when I try to add gift card in @115850 there is a error... Everytime..don't know why..#wtf

AMAZON: @215027 Sorry for the inconvenience. Contact our support team here: https://t.co/vlvfJr4nN9 we will assist you further with the issue. ^GU

CUSTOMER: @AmazonHelp They are also not able to solve the issue...

AMAZON: @215027 I'll reach out to you with an update soon. 2/2 ^EM

AMAZON: @215027 I'm sorry to know that. I'd like to have a closer look, kindly drop in your details here:https://t.co/beaaDm0muc 1/2 ^EM",Promotion / Gift Card / Credit,
1625457,2,"CUSTOMER: @115825 die Untertitel der 3. Season Mr. Robot schreibt der Praktikant,oder? Wäre sonst 'n bisschen absurd bei der Anzahl der Fehler.

AMAZON: @308161 Hi, wir erhalten die Untertitel vom Rechteinhaber. Dein Feedback nehme ich aber gerne auf. ^SI",Digital Content,
1601841,6,"CUSTOMER: @115850 that the books had already reached Srinagar Courier facility. I called d courier facility n they said they r nt wid Amazon anymore

AMAZON: @491711 link: https://t.co/vlvfJr4nN9 &amp; we'll get back to you with an update. 2/2 ^RS

AMAZON: @491711 That's strange. Have you reported it to our support team yet? If not, please do so using the following 1/2 ^RS

CUSTOMER: @AmazonHelp I have already reported this.

AMAZON: @491711 We'll look into it. 2/2 ^SB

AMAZON: @491711 I'm sorry about the hassle regarding delivery. Please drop in your details here: https://t.co/GIJyeYqKE0. 1/2 ^SB",Delivery Issue,
2278641,6,"CUSTOMER: @129773 hello, why are there no subtitles for 'welcome to ballroom' episode 19? Cheers.

AMAZON: @662535 I'm sorry for the trouble, Maya! I can see that subtitles should be available for all episodes in Season 1 of Welcome to the Ballroom. Have you tried uninstalling and reinstalling the app or restarting your device? Please let us know! ^SD

CUSTOMER: @AmazonHelp Thanks for reply - I did both, still doesn't work, other episodes are fine. I'm running Android 8.0.0 on Nexus 6P. I'll try PC later, cheers

AMAZON: @662535 You're Welcome! Let us know if it doesn't work on the PC either. ^LS

CUSTOMER: @AmazonHelp PC version is fine, don't know what happened to mobile. Cheers, have a good weekend 👍🏻💃🕺🇯🇵

AMAZON: @662535 Glad the subtitles are working now! Let us know if you'd like us to take a closer look into why they weren't working on mobile. We'll be here! ^MB",Digital Content,
735264,16,"CUSTOMER: @115830 when do you deliver to lockers been saying all morning that it's being dispatched?

AMAZON: @150360 There is no specific time for delivery but you will be advised once the item has arrived.^CD

CUSTOMER: @AmazonHelp That's rubbish, I'm not gonna use this service again, pay for next day delivery and it comes at some point 2 days later what a shambles

AMAZON: @150360 I'm so sorry for the troubles! Just to clarify, can you tell us what the expected delivery date is?: https://t.co/aaDyEz1VgE ^AL

CUSTOMER: @AmazonHelp It says today but when you order next day locker delivery on a Monday shouldn't it have been here yesterday?

AMAZON: @150360 Its delivery after dispatch, not after ordering. What was the delivery date you received on checkout? ^MC

CUSTOMER: @AmazonHelp How longs it take to prepare for dispatch I'm getting worried it's not gonna come today now

AMAZON: @150360 Sometimes the tracking does not update until it gets closer to delivery. Please keep us updated on the delivery status. ^MH

CUSTOMER: @AmazonHelp Can you at least tell me the latest time your drivers deliver to lockers?

AMAZON: @150360 Sure! We make deliveries up to 21:00. More helpful info about Locker Deliveries can be found here: https://t.co/PsmUdYgaCa. ^SD

CUSTOMER: @AmazonHelp So how do I get it if the shopping centre is shut that's rather silly isn't it

AMAZON: @150360 Once your parcel is delivered, you'll receive an e-mail with a unique pickup code &amp; the opening times for your Locker location. ^WJ

CUSTOMER: @AmazonHelp You're missing the point I paid for next day delivery and here we are 2 days later and I still haven't got it

AMAZON: @150360 We can't see accounts w/ Twitter so please reach out to us so we can look into options for the order: https://t.co/JzP7hlA23B ^DD

CUSTOMER: @AmazonHelp So how do I get my money back please https://t.co/vuBZfXTLof

AMAZON: @150360 If you'd like to contact us using the link DD provided, we can have a look at this together in real-time. ^KN",Delivery Issue,
1603557,3,"CUSTOMER: amazon primeでプリズンブレイクみてるけど終わったら速攻次のエピソードいくの反則でしょ！！やめられない！！！

AMAZON: @492110 プライム・ビデオのご利用、ありがとうございます！(エンドレスの反則行為をどうかお許しください…)O o｡.(´-`*) RI

AMAZON: @492110 （´-`）.｡oO ( どうぞエンドレスでお楽しみくださいませ・・・！ )HM",Digital Content,
1463451,2,"CUSTOMER: @AmazonHelp How can I call customer service? I have a complaint about an attempted delivery.

AMAZON: @459673 I'm sorry for the poor delivery experience. You can reach us via phone or chat here: https://t.co/JzP7hlA23B. ^AL",Delivery Issue,
1899862,4,"CUSTOMER: @115833 last night my Echo &amp; Dot both started taking really long to respond and initiate commands. No change after reboot. Fixes?

AMAZON: @5608 Hey, Don. Can you tell us more about the delay? Was the light ring lighting up blue to indicate Alexa was listening? ^LB

CUSTOMER: @AmazonHelp Yes. Light ring working. Appears to work as normal but delay between request and response it 2-3X the normal rate I've come to expect.

AMAZON: @5608 I'd recommend a restart of the router! If that doesn't work, let us look into this with you: https://t.co/hApLpMlfHN! ^WT",Product / Device Support,
