root_tweet_id,conversation,pseudo_intent
1448019,"CUSTOMER: @AmazonHelp bonjour commande prime passé aujourd'hui date de livraison le 7 ? Petit problème ? Cdlmt

AMAZON: @456023 Bonjour, certains articles nécessitent plus de temps, quel mode de livraison était mentionné lors de l'achat je vous prie?^KE

CUSTOMER: @AmazonHelp Pourquoi mettre éligible prime sur l'article dans ce cas ..?

AMAZON: @456023 Donnez-moi le lien vers l'article en question, je vous prie!^FT",Delivery Issue
495958,"CUSTOMER: Wieder so ein DHL-Fahrer von @117093 der sich wg Pfand unwillig angestellt hat. Nervt :( @AmazonHelp #München

AMAZON: @140858 Melde dich doch mal bei unserem Kundenservice: https://t.co/5RHhEVutwe Meine Kollegen sehen sich das gerne an. ^BB

AMAZON: @140858 Hi, hast du dich bereits bei uns gemeldet? Wie bist du mit uns verblieben? Gruß ^MI

CUSTOMER: @AmazonHelp ich hab das jetzt nicht weiterverfolgt nachdem das Pfand gutgeschrieben wurde

AMAZON: @140858 Danke für die Rückmeldung. Sollte es erneut Probleme geben, melde dich bitte. :) ^SI

CUSTOMER: @AmazonHelp Ich habe noch ein anderes Problem: Auf https://t.co/vuuCYD6lEG fehlt der Hinweis, dass eine kommerzielle Nutzung nicht erlaubt ist.

AMAZON: @140858 Das sagt eigentlich schon der Name aus: Microsoft Office 365 Home. Für die kommerzielle Nutzung sind die Office 365 Business Produkte. Liebe Grüße ^AN

CUSTOMER: @AmazonHelp Nein, sagt der Name nicht. Es ist eine wahllose Produkteinschränkung des Herstellers, die bei euch nicht kommuniziert wird

AMAZON: @140858 Ich kann das gerne als Feedback weiter geben, dass du die Unterscheidung klarer formuliert haben willst. ^AN",Digital Content
2449667,"CUSTOMER: @115850 when will iphone X come back on your for preorder.. Iam so excited to have one..Can I ever purchase it at all?

AMAZON: @427333 I can sense your excitement. Please stay tuned as we don't have any announcements yet on that. ^HA",Order Management
564953,"CUSTOMER: @115821 What's the point of Amazon Help on Twitter when they dont answer their messages???.

AMAZON: @252356 I'm sorry for the delay. Were you able to reach out to us by phone: https://t.co/P7NEdqfe5z? ^ST

CUSTOMER: @AmazonHelp Need a phone number

AMAZON: @252356 I'm sorry you've had trouble with your software purchase. Please reach out to us directly here: https://t.co/hApLpMlfHN​. You will be prompted to select what we can help you with, and then you will have the option for us to contact you via phone or chat. ^NS",Other / Unclear
1420475,"CUSTOMER: @AmazonHelp I've been charged £79 for prime when I'm a student and I can't query it because my account says I don't have prime at all...

AMAZON: @450228 I'm sorry about the charge! Please reach out to us here: https://t.co/JzP7hlA23B so we can take a closer look into this. ^AH",Payment / Billing
1391162,"CUSTOMER: @AmazonHelp Have been trying to connect on your toll free no for quite sometime to resolve one of my query. Plz connect with me asap.

AMAZON: @366694 Sorry for the hassle. Please report this to our support team here: https://t.co/vlvfJr4nN9 and we'll check this. ^HN",Other / Unclear
2311795,"CUSTOMER: Hello @AmazonHelp ,  Recently I've had TWO packages lost in transit.  Both were shipped via your shipping company (AMZL US).  If I reorder, can I select UPS as the preferred shipper?  I never had an issue with deliveries when you shipped using @115817

AMAZON: @382940 I'm so sorry to hear you have had delivery issues! We would like to look into this further. Please provide your details here: https://t.co/COi6wIVr4Z ^RO

CUSTOMER: @AmazonHelp Thanks!  Package arrived yesterday.

AMAZON: @382940 You're welcome! Reach back out if you ever need us. We're here for you! ^AN",Delivery Issue
2836924,"CUSTOMER: @115830 not fun tot see a fragile gift arive in this condition.. https://t.co/sti8tzn6uT

AMAZON: @789597 I'm sorry to see your parcel arrived in this condition. Were the contents damaged? If so, have you phoned or chatted to discuss options for your order yet: https://t.co/JzP7hlA23B? ^AN

CUSTOMER: @AmazonHelp The content was fine, but even the box inside this box was squished.. so no return

AMAZON: @789597 Thanks for letting us know! If you have the time, please share your packaging feedback with us here: https://t.co/fxgZ6hTrFA, as it helps us to improve. ^WJ",Damaged / Wrong / Missing Item
2754692,"CUSTOMER: I really wish @115821 would stop using @118706 about 80% of my deliveries come at least one day late, with my latest order coming a week late. Tell me again why I pay for prime shipping?

AMAZON: @771036 I'm sorry for the trouble with your deliveries. Is the date listed on your order confirmation e-mail being missed? When this has happened, have you contacted to submit carrier feedback about your experiences: https://t.co/hApLpMlfHN? ^AN

CUSTOMER: @AmazonHelp yes, it was supposed to come today, but is now not arriving until next Monday. I have left carrier feedback previously.

AMAZON: @771036 I completely understand your frustration! Please let us know if it does not arrive on Monday by 8 PM ^TN",Delivery Issue
1698750,"CUSTOMER: What is up with @116090 not shipping ANYTHING with @132668. Frustrating because these other companies can’t access mailboxes. 😭

AMAZON: @515224 I'm sorry for any delivery issues you may have experienced. Did you not receive your order? ^SY

CUSTOMER: @AmazonHelp Issue is non-@132668 companies can’t access PO boxes, making deliveries inconvenient, in my opinion. Why the change in courier?

AMAZON: @515224 While we don't have insight regarding this, you can leave courier feedback by reaching us here: https://t.co/3pBuw1SV0L ^GM",Delivery Issue
