root_tweet_id,thread_size,conversation,pseudo_intent,human_label
2583033,5,"CUSTOMER: @AmazonHelp 商品に損傷はございませんでしたでしょう. うれしい！　日本語下手ですみません。

AMAZON: @732001 損傷はなかったということで安心しました！（日本語お上手です！） 何か困ったことがございましたら、英語でも日本語でもどちらでもいいので質問してくださいね。SK

CUSTOMER: 。。。　@116313  荷物が届いた (ノ｀Д´)ノ彡┻━┻ https://t.co/Jxe3id7sFp

AMAZON: @732001 ご迷惑をおかけしております。写真のダンボールに張られているラベルやTwitterのプロフィール等の情報から、JPサイトでご購入されたものを海外でお受取りいただいていることとお察しいたします。配送途中での外箱破損かと考えられますが、商品に損傷はございませんでしたでしょうか。SK

AMAZON: @732001 損傷がある場合には、大変恐れ入りますがご注文履歴より交換（または返品）のお手続きをお願いいたします。また、改善のため梱包に関するご意見も注文履歴よりお送りいただければと存じます。SK",Other / Unclear,Other / Unclear
2875083,6,"CUSTOMER: @AmazonHelp amazon prime package was said to be delivered today by 9pm!!! Its almost 12am

AMAZON: @798163 I'm sorry your package hasn't arrived yet. Can you tell us who the carrier is? If you're unsure you can check here: https://t.co/Y5jpI9gRhE. ^AY

CUSTOMER: @AmazonHelp I’m from canada

AMAZON: @798163 Apologies, Rachel! You can check the carrier assignment here: https://t.co/PyACxvY8Qo ^SH

CUSTOMER: @AmazonHelp The carrier is amzca!

AMAZON: @798163 Thanks for the update! Can you reach out to us here via phone or chat so that we can check further into the shipment with you?  https://t.co/Q7Ftz6nj80 ^GS",Delivery Issue,Delivery Issue
17183,2,"CUSTOMER: 'Hey @AmazonHelp i haven't received my ""delivered"" order.' 
'Did you check around your house' lmao https://t.co/w6FRcwmoFX

AMAZON: @119790 I'm sorry you didn't receive your order. Did our customer service agent provide a solution for you? ^SE",Delivery Issue,Delivery Issue
1085150,2,"CUSTOMER: Can a non-profit list itself as its own beneficiary on @115821 smile? #nonprofit @AmazonHelp

AMAZON: @375966 Thanks for reaching out! When you have the time, please contact our AmazonSmile Support team here: https://t.co/8J2Xg4zvTd ^KN",Other / Unclear,Product / Device Support
1051931,2,"CUSTOMER: @115850 I have Ordered Q-55 Bluetooth Stereo Sound Due to some reason i didnt liked the product so i returned yet nt recived the payment

AMAZON: @368594 I'm sorry about the delay regarding the refund. Please connect with us here: https://t.co/vlvfJr4nN9, we’ll look into it. ^SB",Return / Refund,Return / Refund
1397872,2,"CUSTOMER: @115830 absolute nightmare dealing with your customer service not fit to be called that when chat associates don't listen Amazon gone down

AMAZON: @121804 I hate that this has happened! Without sharing personal info, can you tell us what's going on? We'd like to help if we can. ^AL",Product / Device Support,Product / Device Support
1570209,2,"CUSTOMER: Well @AmazonHelp I have just taken delivery of an EMPTY BOX! WoW https://t.co/qpyZwoK1gL

AMAZON: @484247 I'm sorry! We would like to review options with you. Please reach out to us here: https://t.co/JzP7hlA23B ^AL",Delivery Issue,Delivery Issue
2836924,4,"CUSTOMER: @115830 not fun tot see a fragile gift arive in this condition.. https://t.co/sti8tzn6uT

AMAZON: @789597 I'm sorry to see your parcel arrived in this condition. Were the contents damaged? If so, have you phoned or chatted to discuss options for your order yet: https://t.co/JzP7hlA23B? ^AN

CUSTOMER: @AmazonHelp The content was fine, but even the box inside this box was squished.. so no return

AMAZON: @789597 Thanks for letting us know! If you have the time, please share your packaging feedback with us here: https://t.co/fxgZ6hTrFA, as it helps us to improve. ^WJ",Damaged / Wrong / Missing Item,Damaged / Wrong / Missing Item
2602974,4,"CUSTOMER: @115830 You have locked me out of my account for 5hrs for placing an order. I verified my credit card, used email security code and yet you still locked my account. What shocking service, truly incompetent and pathetic. Totally unacceptable to treat yours customers like this.

AMAZON: @736626 I'm so sorry about this! Have you received any communication from our Account Specialist regarding this issue? ^JY

CUSTOMER: @AmazonHelp No. Nothing. I can't log on to my account to contact customer services either. Really disappointed in you guys. Will be writing a complaint once I get my account back. So frustrating!

AMAZON: @736626 I certainly understand your frustration! Our Account Specialist typically communicate by email. Just to confirm, have you checked your emails? Please be sure to also check your junk and spam folders. ^HC",Payment / Billing,Payment / Billing
2192452,10,"CUSTOMER: @AmazonHelp Confirmado. Enviado pela Amazon.

AMAZON: @641718 Quando você receba o seu pedido por favor nos deixe saber Gabriel. Agradecemos desde já a sua paciência e cooperação. Um abraço e uma boa noite para você! ^JJ

CUSTOMER: @AmazonHelp Vou aguardar então, obrigado pessoal. 😌

AMAZON: @641718 Imagina Gabriel, estamos para lhe ajudar. ^AZ

CUSTOMER: @117086  oi gente, preciso de 1 ajudinha com uma coisa que comprei com vocês :}

AMAZON: @641718 Olá, Gabriel. Sem compartilhar informações pessoais ou da sua conta, me diga, como posso ajudar você hoje? ^CR

CUSTOMER: @AmazonHelp Eu comprei um livro dia 30/10 e a previsão era 6/11. Mas no site está “endereço não encontrado”.  Eles vão tentar mais uma vez, ou eu preciso fazer algo?

AMAZON: @641718 Entendi. Lamento pelo inconveniente. A transportadora tem até 3 tentativas de entrega antes de devolver o pacote para a Amazon. Me diga, o pacote foi enviado pela Amazon ou por um vendedor externo? ^CR

CUSTOMER: @AmazonHelp Claro, sem problemas. Vou aguardar então. Então, não tenho certeza. Como consigo ver isso? Mas acho que pela Amazon.

AMAZON: @641718 Isso. No email de confirmação do seu pedido você pode conferir essa informação Gabriel.^JJ",Account / Access / Security,Account / Access / Security
