root_tweet_id,customer_text,golden_intent,predicted_intent,confidence,reply,escalation_decision,escalation_reason
356701,@1384 @115850,Other / Unclear,Product / Device Support,0.2788930654600312,Hi! Thanks for reaching out. Could you let us know what you need help with?,AUTO-HANDLE,No escalation trigger detected and relevant historical evidence was retrieved.
2396389,Dear @115821 please tell your delivery drivers not to mark things delivered when they are not...#revelation21:8,Damaged / Wrong / Missing Item,Delivery Issue,0.832337590090317,,AUTO-HANDLE,No escalation trigger detected and relevant historical evidence was retrieved.
1315526,@115850 YOUR WEBSITE IS GARBAGE! I couldn't check out and now the phone isn't available. F U!,Order Management,Other / Unclear,0.21961629953169923,,AUTO-HANDLE,No escalation trigger detected and relevant historical evidence was retrieved.
667687,"@AmazonHelp hola! Me llegó un cargo a mi tarjeta pero ya no he hecho compras hoy, se puede rastrear de que es? @AmazonHelp No he recibido correos de Amazon, el domingo hice 2 pedidos (sin problema y con varios cargos aplicados) pero para nada se parece el cargo de hoy que es de 99 pesos @AmazonHelp México https://t.co/YgddnwtIO1 @AmazonHelp Tengo cuenta en la tienda de Estados Unidos y de Mexico con el mismo correo, pero el banco solo me manda el mensaje como en la imagen anterior @AmazonHelp Listo, muchas gracias!",Payment / Billing,Product / Device Support,0.32455355888515697,,AUTO-HANDLE,No escalation trigger detected and relevant historical evidence was retrieved.
1106543,When you peel open your @115821 box and there's 50+ giant ants eating something... #nasty,Damaged / Wrong / Missing Item,Product / Device Support,0.3522205869294927,"I’m really sorry to hear about this.  
Could you please share the order details and any photos of the packaging here: https://t.co/GIJyeYqKE0? We’ll look into it right away.",ESCALATE,Insufficient similarity to historical support cases.
303520,@115821 yo why do my book orders keep getting sent with no kind of padding or protection in the boxes,Damaged / Wrong / Missing Item,Damaged / Wrong / Missing Item,0.6225334573512626,"I’m sorry to hear that your books are arriving without proper protection. Were any of the books damaged or missing when you opened the package? If so, please let me know which items were affected. You can also share your feedback about the packaging here: https://t.co/iUokt0d73t.",AUTO-HANDLE,No escalation trigger detected and relevant historical evidence was retrieved.
1054054,"@AmazonHelp  is this really acceptable to leave my parcel on the doorstep all day? https://t.co/cPXzP4Pyha @AmazonHelp No safe place is set, usually parcels go to our neighbours houses",Delivery Issue,Delivery Issue,0.3859534048630276,"I’m sorry to hear this has happened.  
Could you let us know if you have a Safe Place set for unattended deliveries? If not, you can set one here: https://t.co/JzP7hlA23B.  

If you need further help, please reach out to us directly so we can look into this for you.",AUTO-HANDLE,No escalation trigger detected and relevant historical evidence was retrieved.
662712,@AmazonHelp I DESERVE A REFUND. HIRE MORE PPL OR CHANGE YOUR SHIPPING TIME. I'M TELLING EVERYONE AS YOU CAN SEE NOT TO ORDER FROM YOU AMAZON,Return / Refund,Return / Refund,0.7251193671657119,"I’m sorry you’re having this experience.  
Could you please share your order number and any relevant details? You can submit the information securely here: https://t.co/beaaDm0muc and we’ll look into a refund for you.",AUTO-HANDLE,No escalation trigger detected and relevant historical evidence was retrieved.
691168,"@115850 E-commerce at danger wid player like Amazon.in looting our nation. Didn't received product and they show its delivered.Action @AmazonHelp I already. They ask to wait 5days. I need product urgently. Wrong updation is not at all acceptable. @AmazonHelp I am feedup with your CSA's.They don't have any details.They just know to reply in standard template as""We Need 3-5Business Day""&amp;I cant wait",Damaged / Wrong / Missing Item,Damaged / Wrong / Missing Item,0.3576262014923399,"I’m sorry you’re still waiting for your order.  
Please share your order details here so we can investigate the delivery status: https://t.co/GIJyeYqKE0.  

Let us know once you’ve submitted the information, and we’ll follow up promptly.",ESCALATE,"High-risk account, financial, legal, or safety-related issue."
306598,@AmazonHelp haven't received my refund. 24hrs pased.! Chek dm. I'm sharing the order details. @AmazonHelp Already informed the team. But haven't received my refund @AmazonHelp How much time it will take? @AmazonHelp But Amazon team said that the refund will b provided In 24 hrs. After cancellation of product.,Return / Refund,Return / Refund,0.7251960292451879,"Refunds typically take 3‑5 business days to appear in your account.  
You can track the status here: https://t.co/LjYILTJREp.  

If the refund is still missing after that period, please let us know and we’ll connect you with the support team.",AUTO-HANDLE,No escalation trigger detected and relevant historical evidence was retrieved.
