root_tweet_id,thread_size,conversation,pseudo_intent,human_label,correct,predicted_intent
1085150,2,"CUSTOMER: Can a non-profit list itself as its own beneficiary on @115821 smile? #nonprofit @AmazonHelp

AMAZON: @375966 Thanks for reaching out! When you have the time, please contact our AmazonSmile Support team here: https://t.co/8J2Xg4zvTd ^KN",Other / Unclear,Other / Unclear,True,Product / Device Support
2602974,4,"CUSTOMER: @115830 You have locked me out of my account for 5hrs for placing an order. I verified my credit card, used email security code and yet you still locked my account. What shocking service, truly incompetent and pathetic. Totally unacceptable to treat yours customers like this.

AMAZON: @736626 I'm so sorry about this! Have you received any communication from our Account Specialist regarding this issue? ^JY

CUSTOMER: @AmazonHelp No. Nothing. I can't log on to my account to contact customer services either. Really disappointed in you guys. Will be writing a complaint once I get my account back. So frustrating!

AMAZON: @736626 I certainly understand your frustration! Our Account Specialist typically communicate by email. Just to confirm, have you checked your emails? Please be sure to also check your junk and spam folders. ^HC",Payment / Billing,Payment / Billing,True,Account / Access / Security
2192452,10,"CUSTOMER: @AmazonHelp Confirmado. Enviado pela Amazon.

AMAZON: @641718 Quando você receba o seu pedido por favor nos deixe saber Gabriel. Agradecemos desde já a sua paciência e cooperação. Um abraço e uma boa noite para você! ^JJ

CUSTOMER: @AmazonHelp Vou aguardar então, obrigado pessoal. 😌

AMAZON: @641718 Imagina Gabriel, estamos para lhe ajudar. ^AZ

CUSTOMER: @117086  oi gente, preciso de 1 ajudinha com uma coisa que comprei com vocês :}

AMAZON: @641718 Olá, Gabriel. Sem compartilhar informações pessoais ou da sua conta, me diga, como posso ajudar você hoje? ^CR

CUSTOMER: @AmazonHelp Eu comprei um livro dia 30/10 e a previsão era 6/11. Mas no site está “endereço não encontrado”.  Eles vão tentar mais uma vez, ou eu preciso fazer algo?

AMAZON: @641718 Entendi. Lamento pelo inconveniente. A transportadora tem até 3 tentativas de entrega antes de devolver o pacote para a Amazon. Me diga, o pacote foi enviado pela Amazon ou por um vendedor externo? ^CR

CUSTOMER: @AmazonHelp Claro, sem problemas. Vou aguardar então. Então, não tenho certeza. Como consigo ver isso? Mas acho que pela Amazon.

AMAZON: @641718 Isso. No email de confirmação do seu pedido você pode conferir essa informação Gabriel.^JJ",Account / Access / Security,Account / Access / Security,True,Other / Unclear
2586296,2,"CUSTOMER: Can someone tell me how @115828  prime shipping is getting me Ultra Moon on Tuesday :/

AMAZON: @197686 Hi there! Has the delivery date changed from your confirmation e-mail? Prime shipping refers to transit time, in business days, once the order has shipped. More here: https://t.co/DZClPqA80l ^KL",Delivery Issue,Delivery Issue,True,Prime Membership
613997,2,"CUSTOMER: Amazonの prime now届いたー！
多12時58分に頼んで13時31分出荷、15時13分に受け取りました。ありがたい！わたしは市内住みでは無いのでセンターから10㌔以上離れていますがこの迅速さ。配達の方も礼儀正しくて好印象でした。また急ぎたい時におねがいします。 https://t.co/HBs0H21xwU

AMAZON: @203475 Prime Nowをご利用いただき、ありがとうございました！またお役に立てれば嬉しいです( *´艸｀) EK",Delivery Issue,Other / Unclear,False,Prime Membership
2401321,6,"CUSTOMER: @AmazonHelp I bought 499 rs amazon gv from zeta app if I bought membership through this gv will I get 250 cb ?

AMAZON: @690906 Yes, you definitely would get Rs.250 cashback within 45 days of your first video streaming, into your Amazon account. ^VM

CUSTOMER: @AmazonHelp I bought membership in 2 Oct 2017 my order no 408-8671617-3711546 after 45 days no CB yet !

AMAZON: @690906 Are you referring to any cash back, Suraj? If yes, please contact our support team here: https://t.co/vlvfJr4nN9 so that we can check. Please don't provide your order details, as we consider it to be personal information. Our Twitter page is public.​ ^NK

CUSTOMER: @AmazonHelp What the hell is going on ! After 60 days no 250 CB by amazon  
Amazon giving false promise to their customers I already complaint this issue in consumer forum.

AMAZON: @690906 That's odd! Let us take a closer look at this. Please provide your details here: https://t.co/beaaDm0muc &amp; we'll get this sorted for you. ^SF",Account / Access / Security,Account / Access / Security,True,Order Management
2317390,2,"CUSTOMER: .@115821 @115850 request you to not use @120169 couriers for deliveries - it's been five days since dox submitted, but shipment not cleared from customs as yet. #Aramex is the most inefficient courier company.

AMAZON: @671878 Apologies for the trouble. I've passed on your feedback to the relevant team internally to ensure such instances aren't repeated in the future. Also, kindly have this reported to our support team here: https://t.co/vlvfJr4nN9 we'll have this checked right away. ^EM",Other / Unclear,Delivery Issue,False,Damaged / Wrong / Missing Item
1163729,4,"CUSTOMER: The wrong package again @115821

AMAZON: @302791 I'm sorry you received the wrong package! Pls reach out to us here: https://t.co/hApLpMlfHN so we can look into this. ^KH

CUSTOMER: @AmazonHelp Iv done this it's the 3rd time it won't let me return again this is ridiculous

AMAZON: @302791 We're here to help! Have you had the chance to speak with us via phone/chat to address this? Please, let us know! ^JE",Return / Refund,Return / Refund,True,Damaged / Wrong / Missing Item
727833,2,"CUSTOMER: amazonがサボテンミュージアムをおすすめしてくるんだけど、アタシamazonで買いましたよね？

AMAZON: @294366 既にご購入済みの商品をおすすめしているとのこと、失礼しております。おすすめ商品のご案内について、精度をあげるよう努めてまいります。なお、「おすすめ商品を絞り込む」機能もご活用いただければと存じます。https://t.co/XN553AUa9E RI",Other / Unclear,Other / Unclear,True,Prime Membership
1780183,8,"CUSTOMER: My efforts to get ahead for Xmas are thwarted by @115830 #courierfail #customerservicefail

AMAZON: @534847 This isn't what we want to hear! So we can look into this with you, please click here: https://t.co/JzP7hlA23B ^JA

CUSTOMER: @AmazonHelp Tried that. A waste of time. Apparently the courier is more reliable than the customer who was out at the “delivery” time.

AMAZON: @534847 What information or options were presented when you contacted us? We would like to help. ^ST

CUSTOMER: @AmazonHelp It may have been delivered but as it’s a block of flats I don’t know to whom and the web site is saying the courier handed them to me.

AMAZON: @534847 I'd recommend these steps: https://t.co/BD96XaoFpr If still missing in 36 hours, contact us: https://t.co/qy3J24VGxb ^AF

CUSTOMER: @AmazonHelp Maybe your customer service should have said that rather than telling me it’s been delivered when it clearly hasn’t !!!

AMAZON: @534847 I'm sorry to hear of this experience. Feedback left in the e-mail sent post call/chat goes directly to the rep's leadership. ^JE",Delivery Issue,Delivery Issue,True,Damaged / Wrong / Missing Item
2216623,2,"CUSTOMER: @AmazonHelp I presume this is spam? Worrying that it has my full address on?! https://t.co/RDnwH8cDtm

AMAZON: @447696 Hey, it doesn't look like us but contact us here: https://t.co/hApLpMlfHN and we'll check it out further ^AS",Other / Unclear,Other / Unclear,True,Damaged / Wrong / Missing Item
2170858,2,"CUSTOMER: @AmazonHelp are you guys gonna time travel to yesterday to deliver my package on time? I haven’t had any update on what’s going on here https://t.co/SSofcRwmDa

AMAZON: @210319 I'm sorry about the delay! Please reach out to us via phone/chat here: https://t.co/hApLpMlfHN and we can help. ^TK",Other / Unclear,Other / Unclear,True,Delivery Issue
132376,2,"CUSTOMER: Amazon prime will be the death of my bank account

AMAZON: @145864 Hey Leo! Don't worry about it, at least you're gonna have some. Awesome stuff! 👊 ^JC",Delivery Issue,Other / Unclear,False,Payment / Billing
