root_tweet_id,correctness,groundedness,relevance,tone,actionability
356701,5,5,5,5,4
1106543,5,5,5,5,5
303520,5,5,5,5,4
1054054,2,4,3,4,3
662712,5,5,5,4,5
691168,4,5,4,5,4
306598,5,5,5,5,4
631678,4,5,5,5,4
1300529,5,5,5,5,4
1197534,4,5,4,5,4
130815,4,2,5,5,2
2714715,2,4,3,5,2
2467941,4,5,5,5,4
1239541,4,4,4,5,4
2948060,5,5,5,5,5
323779,2,2,3,4,2
1916322,1,1,1,1,1
1899862,2,4,3,5,2
33195,1,1,1,3,1
1362477,1,1,1,1,1
2435672,1,5,2,3,1
2291777,5,5,5,5,5
1579071,5,5,5,5,5
804029,2,4,3,5,4
2870631,5,5,5,5,4
584606,2,5,4,4,4
2769708,3,4,4,5,2
2009973,3,4,3,5,3
492254,2,4,3,5,1
1545741,2,4,3,4,2
2805925,1,1,1,1,1
1193446,2,4,3,4,1
1562039,5,5,5,5,5
837108,2,4,2,5,2
671803,2,4,3,4,2
2616433,1,1,1,1,1
2820516,4,5,5,5,4
2380837,5,5,5,5,3
